Start,End,Open,High,Low,Close,Volume, Market Cap
2018-12-30,2018-12-31,136.9064558,140.4368828,133.6278988,139.7003162,2445660991,14311540541
2018-12-29,2018-12-30,137.8379507,146.4787019,134.0834291,138.9641289,2640124941,14328676480
2018-12-28,2018-12-29,116.3142637,137.6975583,115.2479085,136.4616027,2119176445,12834457477
2018-12-27,2018-12-28,131.5282883,132.1117729,115.7447269,116.4591956,1939609514,12951157412
2018-12-26,2018-12-27,129.4443013,136.2196792,125.8417861,131.2146717,2375531058,13581327931
2018-12-25,2018-12-26,139.9261956,140.0110431,123.9944692,128.6138658,2970830198,13411262279
2018-12-24,2018-12-25,130.2907545,157.354088,130.2907545,138.7926088,3237647931,15087862663
2018-12-23,2018-12-24,115.8384127,132.3741183,115.8384127,130.3865114,2572839963,13334099175
2018-12-22,2018-12-23,108.6764501,115.6409955,106.8546369,115.6409955,1772395076,11512578145
2018-12-21,2018-12-22,115.415687,118.9100007,106.8735737,108.8750113,2272403173,11744266739
2018-12-20,2018-12-21,100.0277294,115.8447959,99.87385622,115.467202,1991320986,11181152194
2018-12-19,2018-12-20,100.6142921,107.2874126,99.7523026,100.2025811,1904154586,10699624622
2018-12-18,2018-12-19,94.41321902,100.56261,92.13840826,100.4154095,1554229107,9774794621
2018-12-17,2018-12-18,85.5055627,96.22559938,85.41429454,94.42817714,1124022983,9272565824
2018-12-16,2018-12-17,84.38320547,87.60946657,84.38320547,85.46417275,987327768.6,8982134746
2018-12-15,2018-12-16,84.26276512,85.38846337,82.40942563,84.40362298,1019840145,8727698065
2018-12-14,2018-12-15,86.62801879,87.28258957,83.12556708,84.24895349,1135480896,8909845923
2018-12-13,2018-12-14,90.30099482,91.31245142,85.67164223,86.46034934,1042971044,9274849824
2018-12-12,2018-12-13,88.1276735,91.64550798,87.27585454,90.26954231,1243068790,9306758361
2018-12-11,2018-12-12,90.59665363,91.81963737,86.9014221,88.00382361,1170265914,9226118747
2018-12-10,2018-12-11,94.12115983,95.36405914,89.30071079,90.63266689,1316699648,9521444940
2018-12-09,2018-12-10,91.31946553,98.64895441,90.10712901,94.20592993,1407856198,9659445373
2018-12-08,2018-12-09,93.52695282,97.63477431,85.85820599,91.73317523,1643177151,9430951389
2018-12-07,2018-12-08,91.55723977,96.03574677,83.41423768,93.10405307,1783558319,9111492773
2018-12-06,2018-12-07,102.876641,104.4222248,91.62806804,91.62806804,1543625270,10398736936
2018-12-05,2018-12-06,110.3908966,110.8223579,102.9739497,102.9739497,1285323669,11111974918
2018-12-04,2018-12-05,109.214833,113.3607834,107.863782,110.3249449,1268020896,11490374544
2018-12-03,2018-12-04,116.8736152,116.9961808,108.123303,109.1907228,1208557804,11634635697
2018-12-02,2018-12-03,118.6591846,120.3634244,116.4493272,116.7162561,1306527884,12193607224
2018-12-01,2018-12-02,113.779005,120.2153506,111.8789002,118.6900581,1526268999,12050524753
2018-11-30,2018-12-01,118.3471374,119.7405267,112.1417078,113.6055757,1525135035,11986426777
2018-11-29,2018-11-30,122.5310728,123.5404646,115.7002399,118.204596,1790181537,12374905050
2018-11-28,2018-11-29,110.5586628,125.4877808,110.5586628,122.3670077,1893211803,12094857894
2018-11-27,2018-11-28,109.1186677,112.2561408,103.0846537,110.4163706,1649020218,11064331891
2018-11-26,2018-11-27,116.3079676,118.3536242,105.9825641,109.0452613,1753267538,11649250164
2018-11-25,2018-11-26,113.7697469,118.8308663,101.7960926,116.5899982,1764555937,11385650206
2018-11-24,2018-11-25,124.5378024,128.5111456,112.2099274,114.135252,1342436025,12743525146
2018-11-23,2018-11-24,126.284071,127.4097131,120.6454586,124.7411079,1572704412,12799849091
2018-11-22,2018-11-23,136.8473771,138.0680535,127.5892889,127.5892889,1636099258,13820598178
2018-11-21,2018-11-22,132.3335631,140.9515981,126.5148287,137.1080888,2551877653,13891212279
2018-11-20,2018-11-21,149.7552908,152.2689562,126.732191,132.7065004,2536765872,14457931961
2018-11-19,2018-11-20,178.3203729,178.4991263,147.7141789,150.5577501,1864120448,16581351087
2018-11-18,2018-11-19,176.9129199,180.4554199,176.7890623,177.9110937,1445180403,18378784724
2018-11-17,2018-11-18,176.5002696,177.4314891,175.0784145,176.8072928,1567509035,18189448009
2018-11-16,2018-11-17,182.1395428,182.9632263,174.1655298,176.3232883,1900410345,18509249076
2018-11-15,2018-11-16,183.2790017,185.2322447,170.6367505,182.0152707,2659668413,18472005403
