Start,End,Open,High,Low,Close,Volume,Market Cap
2024-09-07,2024-09-08,2231.7322,2308.6582,2226.1881,2272.2729,49391736994,273628974676
2024-09-06,2024-09-07,2369.8234,2405.3853,2175.1372,2226.2336,81863728027,279459391465
2024-09-05,2024-09-06,2452.9409,2465.2994,2356.0129,2369.5972,72221784955,288539329245
2024-09-04,2024-09-05,2433.2665,2487.2768,2337.5743,2452.2749,23718907407,290875912002
2024-09-03,2024-09-04,2540.5543,2553.4566,2438.1004,2438.1004,71254116952,299655316015
2024-09-02,2024-09-03,2432.8884,2561.0235,2428.7995,2539.6288,20035384902,300289757947
2024-09-01,2024-09-02,2512.4604,2516.3066,2409.3747,2430.9171,44978505532,298131044326
2024-08-31,2024-09-01,2523.4476,2533.1541,2496.5843,2514.6596,73116751503,303030283370
2024-08-30,2024-08-31,2526.0696,2537.557,2441.6821,2527.8508,100196674032,301639126556
2024-08-29,2024-08-30,2530.1333,2595.4396,2509.4422,2527.8966,98737053363,305844574105
2024-08-28,2024-08-29,2454.1869,2552.2925,2429.0558,2528.9692,32740526588,300051646169
2024-08-27,2024-08-28,2685.7921,2699.2548,2441.9281,2464.2258,82975229854,315087112923
2024-08-26,2024-08-27,2754.1201,2762.9236,2671.8844,2684.2857,85489888570,327412167816
2024-08-25,2024-08-26,2771.4623,2791.7577,2741.1985,2747.1409,30500044725,332190864697
2024-08-24,2024-08-25,2768.5943,2815.8938,2745.8208,2766.8233,19522838660,332645946751
2024-08-23,2024-08-24,2623.9889,2796.865,2623.9889,2762.7538,15762387827,322820142858
2024-08-22,2024-08-23,2634.5055,2645.9577,2594.8353,2624.906,16982370736,315199054438
2024-08-21,2024-08-22,2579.8199,2659.8239,2552.611,2631.0461,16309363308,312938215377
2024-08-20,2024-08-21,2637.8247,2693.986,2570.3182,2579.7431,17076152094,316370088421
2024-08-19,2024-08-20,2613.3601,2649.5308,2574.9342,2640.3929,13738107674,313884471039
2024-08-18,2024-08-19,2619.1546,2680.5919,2602.6847,2621.8018,10684582236,317468241580
2024-08-17,2024-08-18,2597.5662,2627.1605,2593.2407,2618.2232,15001355445,313351268859
2024-08-16,2024-08-17,2572.7081,2628.9703,2561.2868,2595.7544,21909793862,312471022030
2024-08-15,2024-08-16,2664.2417,2674.5814,2536.6112,2573.4069,21172796981,315292831859
2024-08-14,2024-08-15,2701.3749,2760.9126,2646.1577,2664.8732,21303300704,324396388469
2024-08-13,2024-08-14,2725.257,2734.2765,2619.8933,2704.6421,26482751923,321852083355
2024-08-12,2024-08-13,2563.8531,2741.4118,2531.0374,2727.6733,24379596635,315423830037
2024-08-11,2024-08-12,2611.4138,2711.0543,2552.1725,2560.9146,13783923340,316401034145
2024-08-10,2024-08-11,2595.6427,2642.4081,2586.2779,2609.7463,18641746064,314218510528
2024-08-09,2024-08-10,2681.0539,2704.0312,2560.8861,2600.1855,29064924778,316519810061
2024-08-08,2024-08-09,2349.2904,2709.9281,2327.1725,2684.7862,30921267870,299583882905
2024-08-07,2024-08-08,2462.0024,2543.0155,2326.3285,2341.4748,31259953363,293898195243
